t_indexterm           df 
5376   postal         1  
5377   postapocalypt  5  
5378   postdivorc     1  
5379   poster         1  
5380   postman        1  
5381   postwar        2  
5382   postwwii       1  
5383   pot            1  
5384   potenti        3  
5385   potter         4  
5386   pound          1  
5387   pow            1  
5388   power          48 
5389   powerless      1  
5390   powerphob      1  
5391   powhatan       1  
5392   practic        1  
5393   pragu          1  
5394   prairi         1  
5395   prank          1  
5396   pratt          1  
5397   prawn          1  
5398   pray           1  
5399   preacher       1  
5400   preced         1  
5401   preciou        1  
5402   precivil       1  
5403   precoci        2  
5404   precog         1  
5405   precrim        1  
5406   predat         3  
5407   predestin      1  
5408   predict        1  
5409   prefer         1  
5410   pregnant       10 
5411   prehistor      1  
5412   prejudic       1  
5413   premier        1  
5414   premonit       1  
5415   prepar         6  
5416   prequel        1  
5417   prescott       2  
5418   presenc        2  
5419   present        12 
5420   presid         17 
5421   press          2  
5422   pressur        6  
5423   prestigi       2  
5424   preston        3  
5425   presum         1  
5426   preteen        1  
5427   pretend        3  
5428   pretti         6  
5429   prevent        9  
5430   previou        6  
5431   previous       1  
5432   prewar         1  
5433   prewwii        1  
5434   prey           2  
5435   preyneil       1  
5436   priam          1  
5437   price          3  
5438   priceless      1  
5439   pride          3  
5440   priest         3  
5441   priestli       1  
5442   primari        1  
5443   primarili      1  
5444   prime          6  
5445   princ          12 
5446   princess       16 
5447   princeton      1  
5448   print          1  
5449   prinz          1  
5450   prior          1  
5451   prison         19 
5452   prisonersofwar 1  
5453   privaci        1  
5454   privat         8  
5455   privet         1  
5456   privileg       2  
5457   prize          2  
5458   prizefight     1  
5459   prizewin       1  
5460   pro            3  
5461   probat         1  
5462   problem        16 
5463   problem:       2  
5464   procedur       3  
5465   process        5  
5466   proclaim       1  
5467   prod           1  
5468   prodigi        2  
5469   produc         6  
5470   product        4  
5471   prof           1  
5472   profess        2  
5473   profession     7  
5474   professor      19 
5475   profit         2  
5476   program        6  
5477   programm       1  
5478   progress       1  
5479   prohibit       1  
5480   project        9  
5481   projectionist  2  
5482   prolong        1  
5483   prom           3  
5484   promin         1  
5485   promis         5  
5486   promot         5  
5487   prompt         1  
5488   prone          1  
5489   proof          1  
5490   properti       1  
5491   propheci       1  
5492   proport        1  
5493   propos         2  
5494   proprietor     1  
5495   propuls        1  
5496   prosecut       2  
5497   prosecutor     2  
5498   prospect       1  
5499   prospector     2  
5500   prosper        2  
5501   prosser        1  
5502   prostitut      3  
5503   protagonist    2  
5504   protect        15 
5505   protector      1  
5506   prototyp       1  
5507   prove          15 
5508   provid         6  
5509   provinc        1  
5510   proxi          1  
5511   prozium        1  
5512   pryde          1  
5513   prynn          1  
5514   pseudonym      1  
5515   psychedel      2  
5516   psychiatr      1  
5517   psychiatrist   2  
5518   psychic        3  
5519   psychlo        1  
5520   psycho         1  
5521   psychologist   3  
5522   psychopath     2  
5523   psychot        3  
5524   psychotherapist2  
5525   pub            1  
5526   public         7  
5527   publicli       1  
5528   publish        4  
5529   puerto         1  
5530   pugh           1  
5531   pugsley        1  
5532   pulitz         1  
5533   pull           6  
5534   pullman        1  
5535   pulp           2  
5536   pumpkin        1  
5537   punish         6  
5538   punit          1  
5539   punk           1  
5540   puppet         3  
5541   puppi          1  
5542   purchas        2  
5543   pure           1  
5544   pureheart      1  
5545   purest         1  
5546   puriti         1  
5547   purpos         2  
5548   purs           1  
5549   pursu          7  
5550   pursuit        5  
5551   purti          1  
5552   push           8  
5553   puss           1  
5554   put            14 
5555   puzzl          1  
5556   puzzlingli     1  
5557   pym            1  
5558   pyramid        1  
5559   qaeda          1  
5560   qing           1  
5561   quad           1  
5562   quadripelig    1  
5563   quadripleg     1  
5564   quagmir        1  
5565   quaid          2  
5566   quak           1  
5567   qualiti        1  
5568   qualm          1  
5569   quan           1  
5570   quantico       1  
5571   quarantin      1  
5572   quasimodo      1  
5573   quatermain     1  
5574   queen          11 
5575   queen;         1  
5576   quell          2  
5577   quentin        1  
5578   quest          15 
5579   question       9  
5580   question:      1  
5581   quickli        9  
5582   quidditch      1  
5583   quiet          6  
5584   quigley        1  
5585   quigon         1  
5586   quill          1  
5587   quinci         1  
5588   quintanillaperez1  
5589   quirki         2  
5590   quit           7  
5591   quo            1  
5592   qureshi        1  
5593   ra             1  
5594   rabbit         3  
5595   rabbitt        1  
5596   rabelaisian    1  
5597   race           26 
5598   racer          2  
5599   rachel         4  
5600   racial         3  
5601   racist         3  
5602   racket         1  
5603   radiat         3  
5604   radic          1  
5605   radio          5  
5606   radioact       1  
5607   rafael         1  
5608   rafe           1  
5609   raffl          1  
5610   rage           5  
5611   ragnarok       1  
5612   ragtag         1  
5613   raheem         1  
5614   raid           3  
5615   raider         2  
5616   rail           2  
5617   rain           4  
5618   raini          1  
5619   rainstorm      1  
5620   rais           15 
5621   raisethestak   1  
5622   raj            1  
5623   raju           1  
5624   ralli          1  
5625   ralph          3  
5626   ralphi         1  
5627   ralston        1  
5628   ramalingam     1  
5629   ramo           1  
5630   ramon          2  
5631   rampag         2  
5632   rampant        1  
5633   rams           1  
5634   ran            2  
5635   ranch          1  
5636   rancher        3  
5637   rancho         2  
5638   rand           1  
5639   randal         1  
5640   randi          1  
5641   randolph       1  
5642   random         2  
5643   ranger         7  
5644   rank           5  
5645   rap            1  
5646   rapac          1  
5647   rape           4  
5648   rapid          1  
5649   rapidli        1  
5650   rapist         2  
5651   rapper         2  
5652   rapunzel       1  
5653   rare           4  
5654   rash           1  
5655   rashmon        1  
5656   rastogi        1  
5657   rat            2  
5658   rate           2  
5659   rather         8  
5660   raticu         1  
5661   ratmonkey      1  
5662   ravag          4  
5663   raw            1  
5664   ray            6  
5665   raydor         1  
5666   raymond        1  
5667   rd             2  
5668   reach          15 
5669   reacher        1  
5670   reaction       1  
5671   read           5  
5672   reader         1  
5673   readi          2  
5674   readjust       1  
5675   reads:         1  
5676   reaffirm       1  
5677   reagan         1  
5678   real           15 
5679   realis         2  
5680   realist        3  
5681   realiti        6  
5682   realiz         13 
5683   realli         8  
5684   reallif        2  
5685   realm          4  
5686   reap           1  
5687   rear           2  
